,SDG_1,SDG_2,SDG_3,SDG_4,SDG_5,SDG_6,SDG_7,SDG_8,SDG_9,SDG_10,SDG_11,SDG_12,SDG_13,SDG_14,SDG_15,SDG_16,SDG_17,Misc
0,Africa,Agricultural Orientation index,Access to clean water and sanitation,Access to education,Basic living standards,Accessible water,Affordable energy,Aid for trade,Access to the internet,Affordable housing,Adaptable,Capitalism,Average global temperature,Artisanal fishers,Afforestation,Abuse,Capacity building,Accountability
1,Basic services,Agricultural productivity,Affordable medicines,Basic education,Dignity,Affordable drinking water,Alternative energy,Banking,Affordable access,Age,Adaptation,Cars,Carbon,Biodiversity,Agriculture,Accountability,Civil society partnerships,Alternative energy
2,Class,Agriculture,AIDS,Basic literacy,Disadvantaged,Aquifer,Animal waste,Child labour,Affordable credit,Ageism,Affordable housing,Circular economy,Carbon dioxide,Carbon dioxide,Animals,Accountable institutions,Communication technologies,Biodiversity
3,Developing countries,Consume,Air contamination,Basic literacy skills,Discrimination,Cities,Battery,Child soldiers,Clean technologies,Business,Air pollution,Commercial enterprises,Changing weather patterns,Coastal biodiversity,Arable land,Arbitrary detention,Debt sustainability,Capacity building
4,Disadvantaged,Crop diversity,Air pollution,Cultural diversity,Employment,Clean water,Carbon,Creativity and innovation,Cooperation,Children,Air quality,Consumer levels,Climate,Coastal ecosystems,Bees,Arms,Development assistance,Caring for country
5,Economic resources,Crops,Alcohol abuse,Disability,Empower girls,Contaminated,Charcoal,Culture,Data banks,Culture,Cities,Consumerism,Climate action,Coastal habitats,Biodiversity,Arms trafficking,Disaggregated data,CO2 emissions
6,End poverty,Doha Development Round ,Antenatal care,Disability and education,Empowerment,Defecation,Clean energy,Decent work,Economic development,Developing countries,Climate change,Consumption,Climate adaptation,Coastal parks,Biodiversity loss,Birth registration,Doha Development Agenda,Developing countries
7,Environment, Doha Round,Antiretroviral,Early childhood,Empowerment of women ,Desalination,Clean energy technology,Decent work for all,Electrical power,Developing states,Community,Deep decarbonisation,Climate and gender,Coastal resources,Conservation,Bribery,Entrepreneurship,Disability
8,Equality,End hunger,Antiretroviral therapy,Early childhood development, empower women ,Diarrhoeal diseases,Clean fuel technology,Development oriented policy,Energy,Development assistance,Cultural heritage,Ecological,Climate and infectious disease,Coastlines,Deforestation,Combat terrorism,Environmentally sound technologies,Eco tourism
9,Extreme poverty,Environment,Biomedical,Education, women's empowerment,Drought,Clean fuels,Economic growth,Enterprises,Disabilities,Decentralisation,Efficient use of resources,Climate and politics,Conserve,Desertification,Conflict resolution,Foreign direct investments,Ecology
10,Financial inclusion,Food,Bodily autonomy,Education for sustainability,Equal access,Dumping,Cleaner fossil fuel technology,Economic productivity,Environmentally sound technologies,Discrimination,Development planning,Energy,Climate change,Conserve oceans,Drought,Conflicts,Fostering innovation,Energy efficiency
11,Income,Food gap,Child deaths,Education in developing,Equal opportunities,Ecosystem protection,Climate goal,Economy,Financial services,Discriminatory,Disaster management,Energy consumption,Climate change management,Coral bleaching,Drylands,Corruption,Free trade,Environment
12,Income equality,Food production,Contraceptive use,Enrolment,Equality,Ecosystem restoration,Coal,Enterprises,ICT infrastructure,Economy,Disaster risk reduction,Energy efficiency,Climate change planning,Coral reef,Ecosystem,Discrimination,Fundamental principles of official statistics,Environmental
13,Microfinance,Food reserves,Death rate,Equal access,Exploitation,Equitable sanitation,Electricity,Entrepreneurship,Industrial diversification,Education,Disaster Strategy,Energy use,Climate change policy,Ecosystem management,Ecosystem restoration,Education,Global partnership,Environmental degradation
14,Non-discrimination,Food Security,Dental,Equal education,Female genital mutilation,Floods,Electricity infrastructure,Equal pay,Industrialisation,Empower,Disasters,Food,Climate early warning,Fish species,Ecosystems,Enforced disappearance,Global partnership for sustainable development,Environmental policy
15,Poor,Genetic diversity,Disability and family support,Equitable education,Feminism,Fresh water,Emissions,Finance,Information and communication technology,Equal opportunity,Fine particulate matter,Food losses,Climate hazards,Fish stocks,Extinct,Equal access,Global stability,Environmental sustainability
16,Poor and vulnerable,Genetic diversity of seeds,Disability and inclusion,Gender disparities in education,Forced marriage,Hydropower,Energy,Financial services,Infrastructure,Equality,Green spaces,Food supply,Climate impact,Fish stocks AND FISHERIES MANAGEMENT,Extinct species,Equity,International aid,Equal rights to economic resources
17,Poverty,Genetics,Disability and politics of location,Gender disparity,Gender,Hygiene,Energy efficiency,Forced labour,Innovation,Equity,Heritage,Food waste,Climate mitigation,Fisheries,Extinction,Exploitation,International cooperation,Ethical
18,Poverty eradication,Hunger,Diseases,Gender equality,Gender discrimination,Improving water,Energy infrastructure,GDP growth,Internet access,Ethnicity,Housing,Fossil fuel subsidies,Climate refugees,Fishers,Forest,Flow of arms,International population and housing census,Food-energy-water nexus 
19,Poverty line,Hungry people,Family planning,Gender equity,Gender equality,Inadequate water,Energy research,Global resource efficiency,Irrigation,Financial assistance,Human settlements,Future proof,Climate related hazards,Fishing,Forest management,Freedom,International support, Water-energy-food nexus
20,Quality of Life,Improved nutrition,Health,Gender sensitive,parity,Inadequate water supply,Energy technology,Global trade,Knowledge in education for all,Foreign aid,Impact  of cities,Global food waste,Climate resilience,Fishing practices,Forests,Geography of poverty,International support for developing countries,Forced displacement
21,Resources,Innovations and health,Health in resource-constrained settings,Global citizenship,Governance and gender,Infrastructure,Fossil-fuel,Gross domestic product growth,Mobile networks in developing countries,Foreign investment,Inadequate housing,Greenhouse gasses,CO2 capture,Global warming,Genetic resources,Governance,Knowledge sharing,Good governance
22,Social protection systems ,Legumes,Health worker density,Global education,Human rights,Irrigation,Green economy,Human trafficking,National Security,Gender,Informal settlements,Harvest losses,CO2 conversion,Illegal fishing,Illegal wildlife products,Hate crime,Multi-stakeholder partnerships,Governance
23, social protection,Maize,Healthy,Inclusion and education,Human trafficking,Lakes,Greenhouse gas,Inclusive economic growth,Network infrastructure,Global financial markets,Infrastructure,Life cycle,COP 21,Kelp,Illicit trafficking,Human rights,Poverty eradication,Governance and policy
24,Sustainable,Malnourished,Healthy lives,Inclusive,Humanitarian,Latrines,Greenhouse gas emissions,Innovation,Phone service,Health,Land,Market distortions,COP 22,Law of the Sea,Indigenous,Human trafficking,Public-private partnerships,Governance and risk
25,Third World,Malnutrition,Hepatitis,Innovation,Marginalised,Open defecation,Hydroelectric,Insurance,Public policy,Homelessness,Land consumption,Materialism,Ecosystems,Marine,Indigenous populations,Illegal arms,Science cooperation agreements,Human rights
26,Vulnerable,Nutrition,HIV,International cooperation,Parity,Pollution,Low carbon,Job creation,Quality of life,Homophobia,local materials,Materials goods,Emissions,Marine areas,Invasive alien species,Illicit financial flows,Technology cooperation agreements,Human well-being
27,Wealth distribution,Nutritional needs,Improving mortality,Learning opportunities,Pay,Recycled water,Modern electricity,Jobs,Regional infrastructure,Human rights,mitigation,Monitoring sustainable development,Extreme weather,Marine biodiversity,Land conservation,Inclusion,Technology transfer,Inclusive
28,,Nutritious,Increasing life expectancy,Lifelong learning,Reproductive rights,Reuse,Modern energy,Labour market,Research,Inclusion,Natural disasters,Natural resources,Extreme weather events,Marine ecosystems,Land degradation,Inclusive institutions,Weighted tariff average,Indigenous knowledge
