Node 1,Node 2,Cosine Similarity,Linkage Type
0,843,0.30623335,Moderate linkage
1,89,0.32371405,Moderate linkage
2,119,0.3409258,Moderate linkage
2,137,0.3330132,Moderate linkage
2,139,0.31624305,Moderate linkage
2,714,0.29016542,Moderate linkage
439,661,0.28725398,Moderate linkage
187,86,0.2822619,Moderate linkage
187,404,0.2806667,Moderate linkage
187,507,0.3163608,Moderate linkage
187,404,0.2806667,Moderate linkage
187,796,0.3709823,Moderate linkage
187,507,0.3163608,Moderate linkage
187,404,0.2806667,Moderate linkage
187,796,0.3709823,Moderate linkage
187,796,0.3709823,Moderate linkage
187,507,0.3163608,Moderate linkage
187,696,0.3040922,Moderate linkage
187,796,0.3709823,Moderate linkage
5,523,0.29810128,Moderate linkage
6,123,0.3271332,Moderate linkage
6,228,0.31704256,Moderate linkage
6,556,0.30364573,Moderate linkage
35,21,0.2915069,Moderate linkage
35,35,0.9999999,Strong linkage
35,41,0.2877276,Moderate linkage
35,525,0.2826857,Moderate linkage
449,449,0.99999994,Strong linkage
449,449,0.99999994,Strong linkage
9,716,0.31041,Moderate linkage
10,234,0.29033583,Moderate linkage
10,488,0.29009208,Moderate linkage
10,597,0.28027827,Moderate linkage
11,344,0.29516497,Moderate linkage
12,302,0.28268036,Moderate linkage
12,408,0.31242433,Moderate linkage
13,550,0.32413703,Moderate linkage
14,762,0.31266525,Moderate linkage
14,283,0.2839235,Moderate linkage
14,356,0.38635737,Moderate linkage
14,762,0.31266525,Moderate linkage
14,444,0.3203267,Moderate linkage
14,526,0.28657952,Moderate linkage
14,762,0.31266525,Moderate linkage
14,816,0.32621998,Moderate linkage
15,259,0.3276705,Moderate linkage
15,798,0.3651003,Moderate linkage
16,157,0.28984633,Moderate linkage
16,468,0.28373322,Moderate linkage
16,491,0.28581354,Moderate linkage
736,736,0.99999994,Strong linkage
736,75,0.29565856,Moderate linkage
736,736,0.99999994,Strong linkage
736,605,0.28993517,Moderate linkage
736,736,0.99999994,Strong linkage
839,639,0.2854288,Moderate linkage
839,839,0.9999998,Strong linkage
839,639,0.2854288,Moderate linkage
839,651,0.32918966,Moderate linkage
839,839,0.9999998,Strong linkage
20,777,0.28516558,Moderate linkage
20,579,0.28065017,Moderate linkage
20,738,0.29698852,Moderate linkage
20,777,0.28516558,Moderate linkage
21,35,0.2915069,Moderate linkage
21,549,0.29531682,Moderate linkage
22,710,0.29138926,Moderate linkage
592,49,0.36422655,Moderate linkage
592,592,0.9999999,Strong linkage
592,592,0.9999999,Strong linkage
592,592,0.9999999,Strong linkage
24,580,0.30111837,Moderate linkage
24,730,0.30145845,Moderate linkage
183,133,0.28216636,Moderate linkage
183,508,0.28358278,Moderate linkage
27,466,0.3199652,Moderate linkage
27,818,0.2893216,Moderate linkage
28,104,0.28063303,Moderate linkage
700,700,0.9999999,Strong linkage
30,493,0.28748193,Moderate linkage
30,734,0.32304463,Moderate linkage
32,678,0.37153235,Moderate linkage
33,769,0.31905895,Moderate linkage
34,615,0.30005294,Moderate linkage
35,41,0.2877276,Moderate linkage
35,525,0.2826857,Moderate linkage
564,221,0.29828903,Moderate linkage
37,549,0.36467093,Moderate linkage
38,132,0.3027378,Moderate linkage
38,404,0.30238864,Moderate linkage
38,190,0.2953769,Moderate linkage
38,404,0.30238864,Moderate linkage
38,404,0.30238864,Moderate linkage
39,624,0.33931738,Moderate linkage
41,48,0.3108181,Moderate linkage
41,83,0.2856818,Moderate linkage
41,712,0.35047844,Moderate linkage
41,710,0.2804507,Moderate linkage
41,712,0.35047844,Moderate linkage
42,487,0.3008389,Moderate linkage
42,487,0.3008389,Moderate linkage
43,72,0.37230173,Moderate linkage
44,113,0.33441663,Moderate linkage
44,560,0.28870764,Moderate linkage
44,560,0.28870764,Moderate linkage
44,506,0.28452104,Moderate linkage
44,560,0.28870764,Moderate linkage
44,647,0.3478631,Moderate linkage
44,750,0.2965285,Moderate linkage
46,770,0.3262657,Moderate linkage
49,592,0.36422655,Moderate linkage
49,606,0.2913262,Moderate linkage
49,592,0.36422655,Moderate linkage
49,592,0.36422655,Moderate linkage
49,606,0.2913262,Moderate linkage
51,161,0.2910933,Moderate linkage
52,837,0.30189306,Moderate linkage
736,75,0.29565856,Moderate linkage
736,736,0.99999994,Strong linkage
736,605,0.28993517,Moderate linkage
736,736,0.99999994,Strong linkage
362,114,0.28614527,Moderate linkage
797,797,0.9999996,Strong linkage
797,600,0.29048157,Moderate linkage
797,797,0.9999996,Strong linkage
797,797,0.9999996,Strong linkage
797,600,0.29048157,Moderate linkage
797,701,0.35931548,Moderate linkage
797,797,0.9999996,Strong linkage
59,316,0.2817779,Moderate linkage
59,445,0.29017094,Moderate linkage
59,442,0.30797625,Moderate linkage
59,445,0.29017094,Moderate linkage
59,816,0.31908762,Moderate linkage
60,686,0.31002367,Moderate linkage
61,724,0.280595,Moderate linkage
62,480,0.31283855,Moderate linkage
62,525,0.30871725,Moderate linkage
63,132,0.2818114,Moderate linkage
63,682,0.32724032,Moderate linkage
63,740,0.36084595,Moderate linkage
64,751,0.38567236,Moderate linkage
592,592,0.9999999,Strong linkage
592,592,0.9999999,Strong linkage
66,109,0.38242456,Moderate linkage
66,312,0.33052254,Moderate linkage
67,190,0.2908351,Moderate linkage
67,571,0.28198373,Moderate linkage
67,715,0.28646833,Moderate linkage
67,725,0.29943234,Moderate linkage
69,823,0.2965595,Moderate linkage
69,823,0.2965595,Moderate linkage
72,404,0.31820557,Moderate linkage
72,222,0.30263922,Moderate linkage
72,222,0.30263922,Moderate linkage
72,316,0.30648574,Moderate linkage
72,404,0.31820557,Moderate linkage
72,404,0.31820557,Moderate linkage
73,585,0.30506444,Moderate linkage
74,400,0.28447664,Moderate linkage
75,736,0.29565856,Moderate linkage
75,605,0.3348817,Moderate linkage
75,695,0.28983253,Moderate linkage
75,736,0.29565856,Moderate linkage
76,260,0.28913,Moderate linkage
487,108,0.30158144,Moderate linkage
487,487,0.9999999,Strong linkage
78,559,0.3850011,Moderate linkage
78,818,0.304926,Moderate linkage
79,274,0.28166512,Moderate linkage
80,321,0.31760633,Moderate linkage
80,655,0.31292787,Moderate linkage
80,635,0.31322864,Moderate linkage
80,655,0.31292787,Moderate linkage
81,591,0.307785,Moderate linkage
81,591,0.307785,Moderate linkage
82,127,0.29550114,Moderate linkage
82,308,0.29930082,Moderate linkage
82,593,0.31236124,Moderate linkage
82,539,0.28564733,Moderate linkage
82,593,0.31236124,Moderate linkage
82,792,0.28559652,Moderate linkage
83,657,0.3030772,Moderate linkage
